B0,communicative_fraction_mean,communicative_fraction_std
0.0006711409395973311,0.020462010573333335,0.004791300760602136
0.04067114093959733,0.03186641354333334,0.008983234621678198
0.08067114093959733,0.06410762819833334,0.012503684906210202
0.12067114093959733,0.6163821161749999,0.06536730164655345
0.16067114093959733,0.9155256978016666,0.020809600724922085
0.20067114093959734,0.9711657307666668,0.010880490922272234
0.24067114093959732,0.9793850944516667,0.0070214651695522864
0.28067114093959733,0.9844924785083332,0.007589664277013273
0.32067114093959737,0.9909643247966666,0.005992189937044801
0.3606711409395973,0.9946326163799999,0.0022647870079434006
0.4006711409395973,0.9936393145633333,0.002917625483125425
