B0,communicative_fraction_mean,communicative_fraction_std
0.0006711409395973311,0.010125098603333334,0.005390572043688419
0.04067114093959733,0.010850507126666666,0.0038654829501160106
0.08067114093959733,0.020103523031666664,0.01909099017573205
0.12067114093959733,0.025665614606666665,0.02597057168061566
0.16067114093959733,0.165220543395,0.08581914189136632
0.20067114093959734,0.5148799175966666,0.07842420862808928
0.24067114093959732,0.6950855260666666,0.04823033108371641
0.28067114093959733,0.7145933143533333,0.04314643702316239
0.32067114093959737,0.6920745556650001,0.047840647410832916
0.3606711409395973,0.6612169019633333,0.04554007969432061
0.4006711409395973,0.6371609226083332,0.03669933724789211
