B0,communicative_fraction_mean,communicative_fraction_std
0.0006711409395973311,0.011156490673333332,0.005421467017452
0.04067114093959733,0.010905742454999999,0.004028846794552513
0.08067114093959733,0.027206540305,0.027941108969763092
0.12067114093959733,0.6081883801366667,0.05456500377471989
0.16067114093959733,0.749647450755,0.035720271422633114
0.20067114093959734,0.7334343227183333,0.041043687970107656
0.24067114093959732,0.6721690157250001,0.03774489566507979
0.28067114093959733,0.6309492308883333,0.03607601291322162
0.32067114093959737,0.6062709101983333,0.02543743962144943
0.3606711409395973,0.60166273222,0.02217617550567149
0.4006711409395973,0.5995571037949999,0.01941529714058881
