B0,communicative_fraction
0.011111111111111127,0.0008876150251454882
0.015240593705084408,0.0009559168893691382
0.03942659596941352,0.001503266414685625
0.05067792051457111,0.0018699789925324857
0.06575888915766243,0.0025138840506188187
0.07822042367690499,0.003209882373650434
0.08980841533036389,0.004019146239051027
0.09708186985495819,0.004618752418996072
0.10435532437955249,0.00529664594536418
0.11087965206002755,0.005976341607924204
0.11740397974050261,0.006728067719805095
0.12487195350435426,0.0076817785122196055
0.13233992726820593,0.008739774562356506
0.13792223750146543,0.00960122057882457
0.1435045477347249,0.010524593316057108
0.15064442905400569,0.011797458744173015
0.15778431037328647,0.013174634587676605
0.1643009069355783,0.014523050348222885
0.17081750349787017,0.01595849651203596
0.17823419500907692,0.0176970455820685
0.18565088652028366,0.019545281604168067
0.19153026942176016,0.02108660396540092
0.19740965232323668,0.022693572811886553
0.2047140281784589,0.02477875609445251
0.21201840403368116,0.026958755514859323
0.2176123753196303,0.02868992896991038
0.2232063466055794,0.03047255531221738
0.23897974231372773,0.035760116378619665
0.25076691292187536,0.03994437386360156
0.2641715733880431,0.044922147409884525
0.27744679091180696,0.050061299407726155
0.2920519624645859,0.05593329689278577
0.30320779122915004,0.06055884587197912
0.31728548843540527,0.06655443535965781
0.33030588951017015,0.07224470630674655
0.3437341790509235,0.0782474354665276
0.3573453008242531,0.0844603896665619
0.3715578652672521,0.0910755807284644
0.3827537805430489,0.09637221468314931
0.4082504804486093,0.10869143292356866
0.41111111111111115,0.11009439220644338
