B0,communicative_fraction_mean,communicative_fraction_std
0.0006711409395973311,0.05249943714000001,0.011279705223915918
0.04067114093959733,0.05158517851333333,0.010715106251417953
0.08067114093959733,0.06333040330666666,0.00594556653193525
0.12067114093959733,0.5107319691433332,0.039679442145021906
0.16067114093959733,0.7690325936166665,0.022167433985412363
0.20067114093959734,0.7657618638166667,0.017614034071281686
0.24067114093959732,0.7411845880766667,0.028419345800082135
0.28067114093959733,0.7235563842899999,0.0277777826207781
0.32067114093959737,0.7157999008383333,0.023108453013795476
0.3606711409395973,0.7111077136349999,0.01817017010937505
0.4006711409395973,0.7086607619483333,0.013942250243895593
