B0,communicative_fraction_mean,communicative_fraction_std
0.0006711409395973311,0.5126666666666667,0.026237283810036347
0.04067114093959733,0.5126666666666667,0.026237283810036347
0.08067114093959733,0.5126666666666667,0.026237283810036347
0.12067114093959733,0.5126666666666667,0.026237283810036347
0.16067114093959733,0.5126666666666667,0.026237283810036347
0.20067114093959734,0.5126666666666667,0.026237283810036347
0.24067114093959732,0.5126666666666667,0.026237283810036347
0.28067114093959733,0.5126666666666667,0.026237283810036347
0.32067114093959737,0.5126666666666667,0.026237283810036347
0.3606711409395973,0.5126666666666667,0.026237283810036347
0.4006711409395973,0.5126666666666667,0.026237283810036347
