B0,communicative_fraction_mean,communicative_fraction_std
0.011111111111111127,0.002108196425,0.0006962841802719341
0.05111111111111113,0.0452990468,0.0065576141452114555
0.09111111111111113,0.490487944275,0.01198301481417639
0.13111111111111112,0.8682977230500001,0.008937248908397772
0.17111111111111113,0.968898349,0.004914009692934431
0.21111111111111114,0.9909883285000001,0.0025059691015226863
0.2511111111111111,0.9975358651999999,0.0013061636177469685
0.29111111111111115,0.9995323924749998,0.0002912604195058977
0.33111111111111113,0.9997129688500002,0.00017886763858205915
0.3711111111111111,0.9998938610250001,7.052243573074389e-5
0.41111111111111115,0.9999256394500001,1.1391379586814904e-6
