B0,communicative_fraction_mean,communicative_fraction_std
0.0006711409395973311,0.052355209636666664,0.010840104565301727
0.04067114093959733,0.050160104483333336,0.00881892831838259
0.08067114093959733,0.060923996108333336,0.016086512017062213
0.12067114093959733,0.49243449237833337,0.04012863363952652
0.16067114093959733,0.768765077145,0.01664382632439256
0.20067114093959734,0.7658222363816666,0.017498199737940156
0.24067114093959732,0.741040818215,0.02897966407620807
0.28067114093959733,0.7259822851700001,0.029389478414125193
0.32067114093959737,0.7131923679850001,0.02152608681837637
0.3606711409395973,0.7113188411866667,0.017924428380541983
0.4006711409395973,0.7086742591783333,0.013941175234183678
