asymmetry,coordination,dilemma,neutral
0.0,0.0,1.28749983906252e-5,0.9999871250016094
0.25,0.0,5.12499935937508e-6,0.9999948750006407
0.5,0.0,0.0,1.0
0.75,0.005360499329937584,0.0,0.9946395006700625
1.0,0.2444754694405663,0.0,0.7555245305594337
