asymmetry,chicken_mean,hero_mean,deadlock_mean,dilemma_mean,staghunt_mean,harmony_mean,concord_mean,allCommunicative_mean,allNoncommunicative_mean,chicken_std,hero_std,deadlock_std,dilemma_std,staghunt_std,harmony_std,concord_std,allCommunicative_std,allNoncommunicative_std
0.0,0.0,0.0,0.0,0.0013104248361968953,0.00046474994190625723,0.0,0.0,0.0053484618314422715,0.9928763633904545,0.0,0.0,0.0,0.0001303682947606681,0.00012333669624835523,0.0,0.0,0.005521390682267862,0.005536022534220577
0.25,0.0,0.0,0.0,0.0014666873166640853,0.0006788999151375106,0.0,0.0,0.006914199135725108,0.9909402136324733,0.0,0.0,0.0,0.00018463232791807497,0.0001351582596635631,0.0,0.0,0.00763856338027481,0.007720565471009221
0.5,0.0015063373117078361,0.0,0.0,0.0006582999177125103,0.00095912488010939,0.0,0.0,0.09948443756444532,0.8973918003260248,0.00014680838912939657,0.0,0.0,0.00012250248182727074,9.880659941062442e-5,0.0,0.0,0.052739020048215915,0.052782756002876435
0.75,0.0,0.0015511873061015867,0.0,0.0,0.0011464748566906429,0.0,0.0006402374199703225,0.7801828774771403,0.2164792229400972,0.0,0.00030694206082514303,0.0,0.0,0.00014254000823756108,0.0,0.0001784711126315949,0.07532569614049883,0.0751325010225384
1.0,0.0,0.0,0.0010249748718781412,0.0,0.0010332498708437662,0.00021972497253437847,0.0,0.9382688577163927,0.059453192568350924,0.0,0.0,0.00010402824170536018,0.0,0.00011455572478212244,6.386401858038381e-5,0.0,0.038735955814461064,0.038744851643360806
