asymmetry,all_communicative,all_noncommunicative,battle,chicken,compromise,deadlock,dilemma,harmony,hero
0.0,0.0,0.998381000202375,0.0,0.0,0.0,1.149999856250018e-5,0.0016074997990625252,0.0,0.0
0.25,0.0,0.9981181252352344,0.0,0.0,0.0,1.412499823437522e-5,0.0018677497665312791,0.0,0.0
0.5,0.0033003745874531764,0.9935932508008436,0.0,0.0030803746149531733,0.0,2.5999996750000408e-5,0.0,0.0,0.0
0.75,0.7420921572384803,0.2544288431963946,0.0,0.0,5.8749992656250915e-5,0.0,0.0,0.0,0.0034202495724688035
1.0,0.8728415158948105,0.12444335944458007,6.037499245312594e-5,0.0,0.0,0.0025498746812656647,0.0,0.00010487498689062663,0.0
