asymmetry,chicken,concord,deadlock,dilemma,harmony,hero,staghunt,all_communicative,all_noncommunicative
0.0,0.0,0.0,0.0,0.0012014998498125187,0.0,0.0,0.00041749994781250653,0.0,0.998381000202375
0.25,0.0,0.0,0.0,0.0013119998360000204,0.0,0.0,0.0005698749287656339,0.0,0.9981181252352344
0.5,0.0019669997541250307,0.0,0.0,0.0004207499474062566,0.0,0.0,0.0007186249101718863,0.0033003745874531764,0.9935932508008436
0.75,0.0,0.0007316249085468864,0.0,0.0,0.0,0.001736124782984402,0.0010112498735937658,0.7420921572384803,0.2544288431963946
1.0,0.0,0.0,0.0012982498377187702,0.0,0.00024737496907812885,0.0,0.0011694998538125184,0.8728415158948105,0.12444335944458007
