asymmetry,chicken,concord,coordination,deadlock,dilemma,harmony,hero,neutral,staghunt,all_communicative,all_noncommunicative
0.0,0.0,0.0,0.0,0.0,1.3749998281250214e-5,0.0,0.0,0.00159987480001565,5.374999328125084e-6,0.0,0.998381000202375
0.25,0.0,0.0,0.0,0.0,3.287499589062551e-5,0.0,0.0,0.0018424997696875288,6.499999187500102e-6,0.0,0.9981181252352344
0.5,0.00040849994893750637,0.0,0.0,0.0,6.2499992187500974e-6,0.0,0.0,0.0026737496657812916,1.787499776562528e-5,0.0033003745874531764,0.9935932508008436
0.75,0.0,7.462499067187617e-5,8.749998906250137e-7,0.0,0.0,0.0,0.0003152499605937549,0.0030321246209844225,5.612499298437588e-5,0.7420921572384803,0.2544288431963946
1.0,0.0,0.0,8.749998906250137e-7,8.387498951562631e-5,0.0,3.337499582812552e-5,0.0,0.002495999688000039,0.00010099998737500158,0.8728415158948105,0.12444335944458007
