asymmetry,chicken_mean,hero_mean,deadlock_mean,dilemma_mean,staghunt_mean,coordination_mean,harmony_mean,concord_mean,neutral_mean,allCommunicative_mean,allNoncommunicative_mean,chicken_std,hero_std,deadlock_std,dilemma_std,staghunt_std,coordination_std,harmony_std,concord_std,neutral_std,allCommunicative_std,allNoncommunicative_std
0.0,0.0,0.0,0.0,2.3224997096875362e-5,2.2612497173437852e-5,6.249999218750098e-8,0.0,0.0,0.0017292747838406522,0.0053484618314422715,0.9928763633904545,0.0,0.0,0.0,8.352227534154882e-6,1.571020460004076e-5,1.5866191987275812e-7,0.0,0.0,0.0001517221640975016,0.005521390682267862,0.005536022534220577
0.25,0.0,0.0,0.0,8.254998968125128e-5,2.962499629687546e-5,3.3749995781250524e-7,0.0,0.0,0.002033074745865657,0.006914199135725108,0.9909402136324733,0.0,0.0,0.0,3.7372472946781e-5,2.049940461057444e-5,6.483150429551167e-7,0.0,0.0,0.00017918522082485634,0.00763856338027481,0.007720565471009221
0.5,0.0002782999652125044,0.0,0.0,8.22499897187513e-5,6.953749130781357e-5,1.4624998171875228e-6,0.0,0.0,0.00269221216347348,0.09948443756444532,0.8973918003260248,7.520132222220546e-5,0.0,0.0,3.795446359166886e-5,3.3352597032997214e-5,2.1794890280907427e-6,0.0,0.0,0.00016606322073042652,0.052739020048215915,0.052782756002876435
0.75,0.0,0.00028452496443437945,0.0,0.0,0.0001156374855453143,2.2124997234375344e-6,0.0,9.068748866406392e-5,0.002844837144395357,0.7801828774771403,0.2164792229400972,0.0,9.387601097038792e-5,0.0,0.0,3.021441802342788e-5,2.6977675158177335e-6,0.0,4.299289819083021e-5,0.00041059381926141593,0.07532569614049883,0.0751325010225384
1.0,0.0,0.0,7.173749103281362e-5,0.0,9.246248844218895e-5,3.5124995609375553e-6,1.6762497904687762e-5,0.0,0.002093474738315658,0.9382688577163927,0.059453192568350924,0.0,0.0,1.672940585644088e-5,0.0,2.12515536591138e-5,3.937642803247174e-6,2.1533518495571275e-5,0.0,0.00015019349991272376,0.038735955814461064,0.038744851643360806
