asymmetry,coordination_mean,dilemma_mean,hero_mean,neutral_mean,staghunt_mean,coordination_std,dilemma_std,hero_std,neutral_std,staghunt_std
0.0,0.0,2.737499657812543e-5,0.0,0.999972625003422,0.0,0.0,3.369475510701046e-5,0.0,3.369475510699704e-5,0.0
0.25,2.499999687500039e-8,7.612499048437621e-6,0.0,0.9999923625009547,0.0,7.905693162209303e-8,5.90681324118832e-6,0.0,5.890920362152452e-6,0.0
0.5,5.09749936281258e-5,0.0,0.0,0.9999490250063718,0.0,0.00014904716116649505,0.0,0.0,0.0001490471611664845,0.0
0.75,0.02081435989820501,0.0,1.4249998218750223e-6,0.9791841276019839,8.749998906250137e-8,0.03080052687500456,0.0,4.506245102459302e-6,0.030804051029752037,2.766992606773256e-7
1.0,0.2489133938858258,0.0,0.0,0.7510866061141743,0.0,0.34114918049700305,0.0,0.0,0.3411491804970031,0.0
