asymmetry,all_communicative,all_noncommunicative,battle,chicken,concord,coordination,deadlock,dilemma,harmony,neutral,staghunt
0.0,0.0,0.998381000202375,0.0,5.374999328125084e-6,1.0624998671875165e-5,0.0,0.0,0.0,0.0,0.001602999799625025,0.0
0.25,0.0,0.998112000236,0.0,6.499999187500102e-6,2.8874996390625452e-5,0.0,0.0,0.0,0.0,0.001852624768421904,0.0
0.5,0.02118399735200033,0.9755291280588589,0.0,1.712499785937527e-5,1.93749975781253e-5,0.0,0.0,0.0,0.0,0.0027972496503437935,0.0004531249433593821
0.75,0.7212949098381363,0.2754889655638793,1.337499832812521e-5,5.1999993500000816e-5,0.0,0.00022299997212500347,0.0,9.487498814062648e-5,0.0,0.002832874645890669,0.0
1.0,0.8615837673020291,0.13563460804567398,8.112498985937627e-5,0.0,0.0,0.0,3.87499951562506e-5,0.0,0.00011824998521875185,0.0025434996820625395,0.0
