time,game_type,communicative_fraction,communicative_fraction_std,order_parameter,order_parameter_std
86400,all_noncommunicative,0.0,0.0,1.0,0.0
87200,all_noncommunicative,0.0,0.0,1.0,0.0
88000,all_noncommunicative,0.0,0.0,1.0,0.0
88800,all_noncommunicative,0.0,0.0,1.0,0.0
89600,all_noncommunicative,0.0,0.0,1.0,0.0
90400,all_noncommunicative,0.0,0.0,1.0,0.0
91200,all_noncommunicative,0.0,0.0,1.0,0.0
92000,all_noncommunicative,0.0,0.0,1.0,0.0
92800,all_noncommunicative,0.0,0.0,1.0,0.0
93600,all_noncommunicative,0.0,0.0,1.0,0.0
94400,all_noncommunicative,0.0,0.0,1.0,0.0
95200,all_noncommunicative,0.0,0.0,1.0,0.0
96000,all_noncommunicative,0.0,0.0,1.0,0.0
96800,all_noncommunicative,0.0,0.0,1.0,0.0
97600,all_noncommunicative,0.0,0.0,1.0,0.0
98400,all_noncommunicative,0.0,0.0,1.0,0.0
99200,all_noncommunicative,0.0,0.0,1.0,0.0
100000,all_noncommunicative,0.0,0.0,1.0,0.0
100800,all_noncommunicative,0.0,0.0,1.0,0.0
101600,all_noncommunicative,0.0,0.0,1.0,0.0
102400,all_noncommunicative,0.0,0.0,1.0,0.0
103200,all_noncommunicative,0.0,0.0,1.0,0.0
104000,all_noncommunicative,0.0,0.0,1.0,0.0
104800,all_noncommunicative,0.0,0.0,1.0,0.0
105600,all_noncommunicative,0.0,0.0,1.0,0.0
106400,all_noncommunicative,0.0,0.0,1.0,0.0
107200,all_noncommunicative,0.0,0.0,1.0,0.0
108000,all_noncommunicative,0.0,0.0,1.0,0.0
108800,all_noncommunicative,0.0,0.0,1.0,0.0
109600,all_noncommunicative,0.0,0.0,1.0,0.0
110400,all_noncommunicative,0.0,0.0,1.0,0.0
111200,all_noncommunicative,0.0,0.0,1.0,0.0
112000,all_noncommunicative,0.0,0.0,1.0,0.0
112800,all_noncommunicative,0.0,0.0,1.0,0.0
113600,all_noncommunicative,0.0,0.0,1.0,0.0
114400,all_noncommunicative,0.0,0.0,1.0,0.0
115200,all_noncommunicative,0.0,0.0,1.0,0.0
116000,all_noncommunicative,0.0,0.0,1.0,0.0
116800,all_noncommunicative,0.0,0.0,1.0,0.0
117600,all_noncommunicative,0.0,0.0,0.993171416257004,0.02159387782106514
118400,all_noncommunicative,0.0,0.0,1.0,0.0
119200,all_noncommunicative,0.0,0.0,1.0,0.0
120000,all_noncommunicative,0.0,0.0,1.0,0.0
120800,all_noncommunicative,0.0,0.0,1.0,0.0
121600,all_noncommunicative,0.0,0.0,1.0,0.0
122400,all_noncommunicative,0.0,0.0,1.0,0.0
123200,all_noncommunicative,0.0,0.0,1.0,0.0
124000,all_noncommunicative,0.0,0.0,1.0,0.0
124800,all_noncommunicative,0.0,0.0,1.0,0.0
125600,all_noncommunicative,0.0,0.0,1.0,0.0
126400,all_noncommunicative,0.0,0.0,1.0,0.0
127200,all_noncommunicative,0.0,0.0,1.0,0.0
128000,all_noncommunicative,0.0,0.0,1.0,0.0
128800,all_noncommunicative,0.0,0.0,1.0,0.0
129600,all_noncommunicative,0.0,0.0,1.0,0.0
130400,all_noncommunicative,0.0,0.0,1.0,0.0
131200,all_noncommunicative,0.0,0.0,1.0,0.0
132000,all_noncommunicative,0.0,0.0,1.0,0.0
132800,all_noncommunicative,0.0,0.0,1.0,0.0
133600,all_noncommunicative,0.0,0.0,1.0,0.0
134400,all_noncommunicative,0.0,0.0,1.0,0.0
135200,all_noncommunicative,0.0,0.0,1.0,0.0
136000,all_noncommunicative,0.0,0.0,1.0,0.0
136800,all_noncommunicative,0.0,0.0,1.0,0.0
137600,all_noncommunicative,0.0,0.0,1.0,0.0
138400,all_noncommunicative,0.0,0.0,1.0,0.0
139200,all_noncommunicative,0.0,0.0,1.0,0.0
140000,all_noncommunicative,0.0,0.0,1.0,0.0
140800,all_noncommunicative,0.0,0.0,1.0,0.0
141600,all_noncommunicative,0.0,0.0,1.0,0.0
142400,all_noncommunicative,0.0,0.0,1.0,0.0
143200,all_noncommunicative,0.0,0.0,1.0,0.0
144000,all_noncommunicative,0.0,0.0,1.0,0.0
144800,all_noncommunicative,0.0,0.0,1.0,0.0
145600,all_noncommunicative,0.0,0.0,1.0,0.0
146400,all_noncommunicative,0.0,0.0,1.0,0.0
147200,all_noncommunicative,0.0,0.0,1.0,0.0
148000,all_noncommunicative,0.0,0.0,1.0,0.0
148800,all_noncommunicative,0.0,0.0,1.0,0.0
149600,all_noncommunicative,0.0,0.0,1.0,0.0
150400,all_noncommunicative,0.0,0.0,1.0,0.0
151200,all_noncommunicative,0.0,0.0,1.0,0.0
152000,all_noncommunicative,0.0,0.0,0.9935747326465585,0.020318479412397224
152800,all_noncommunicative,0.0,0.0,1.0,0.0
153600,all_noncommunicative,0.0,0.0,1.0,0.0
154400,all_noncommunicative,0.0,0.0,1.0,0.0
155200,all_noncommunicative,0.0,0.0,1.0,0.0
156000,all_noncommunicative,0.0,0.0,1.0,0.0
156800,all_noncommunicative,0.0,0.0,1.0,0.0
157600,all_noncommunicative,0.0,0.0,1.0,0.0
158400,all_noncommunicative,0.0,0.0,1.0,0.0
159200,all_noncommunicative,0.0,0.0,1.0,0.0
160000,all_noncommunicative,0.0,0.0,1.0,0.0
160800,all_noncommunicative,0.0,0.0,1.0,0.0
161600,all_noncommunicative,0.0,0.0,1.0,0.0
162400,all_noncommunicative,0.0,0.0,1.0,0.0
163200,all_noncommunicative,0.0,0.0,1.0,0.0
164000,all_noncommunicative,0.0,0.0,1.0,0.0
164800,all_noncommunicative,0.0,0.0,1.0,0.0
165600,all_noncommunicative,0.0,0.0,1.0,0.0
166400,all_noncommunicative,0.0,0.0,1.0,0.0
167200,all_noncommunicative,0.0,0.0,1.0,0.0
168000,all_noncommunicative,0.0,0.0,1.0,0.0
168800,all_noncommunicative,0.0,0.0,0.9997672475839661,0.00073602776557411
169600,all_noncommunicative,0.0,0.0,1.0,0.0
170400,all_noncommunicative,0.0,0.0,1.0,0.0
171200,all_noncommunicative,0.0,0.0,1.0,0.0
172000,all_noncommunicative,0.0,0.0,1.0,0.0
172800,all_noncommunicative,0.0,0.0,1.0,0.0
173600,all_noncommunicative,0.0,0.0,1.0,0.0
174400,all_noncommunicative,0.0,0.0,1.0,0.0
175200,all_noncommunicative,0.0,0.0,1.0,0.0
176000,all_noncommunicative,0.0,0.0,1.0,0.0
176800,all_noncommunicative,0.0,0.0,1.0,0.0
177600,all_noncommunicative,0.005,0.015811388300841892,0.9997672475839661,0.0007360277655741101
178400,all_noncommunicative,0.0,0.0,1.0,0.0
179200,all_noncommunicative,0.0,0.0,1.0,0.0
180000,all_noncommunicative,0.0,0.0,1.0,0.0
180800,all_noncommunicative,0.0,0.0,1.0,0.0
181600,all_noncommunicative,0.0,0.0,1.0,0.0
182400,all_noncommunicative,0.0,0.0,1.0,0.0
183200,all_noncommunicative,0.0,0.0,1.0,0.0
184000,all_noncommunicative,0.0,0.0,1.0,0.0
184800,all_noncommunicative,0.0,0.0,1.0,0.0
185600,all_noncommunicative,0.0,0.0,1.0,0.0
186400,all_noncommunicative,0.0,0.0,0.998022425952829,0.006253638230697567
187200,all_noncommunicative,0.0,0.0,1.0,0.0
188000,all_noncommunicative,0.0,0.0,1.0,0.0
188800,all_noncommunicative,0.0,0.0,1.0,0.0
189600,all_noncommunicative,0.0,0.0,1.0,0.0
190400,all_noncommunicative,0.0,0.0,1.0,0.0
191200,all_noncommunicative,0.0,0.0,0.998022425952829,0.006253638230697567
192000,all_noncommunicative,0.0,0.0,1.0,0.0
192800,all_noncommunicative,0.0,0.0,1.0,0.0
193600,all_noncommunicative,0.0,0.0,1.0,0.0
194400,all_noncommunicative,0.0,0.0,1.0,0.0
195200,all_noncommunicative,0.0,0.0,1.0,0.0
196000,all_noncommunicative,0.0,0.0,1.0,0.0
196800,all_noncommunicative,0.0,0.0,1.0,0.0
197600,all_noncommunicative,0.0,0.0,1.0,0.0
198400,all_noncommunicative,0.0,0.0,1.0,0.0
199200,all_noncommunicative,0.0,0.0,1.0,0.0
200000,all_noncommunicative,0.0,0.0,1.0,0.0
200800,all_noncommunicative,0.02,0.06324555320336758,0.9968961009638665,0.009815390581382803
201600,all_noncommunicative,0.0,0.0,1.0,0.0
202400,all_noncommunicative,0.0,0.0,1.0,0.0
203200,all_noncommunicative,0.0,0.0,1.0,0.0
204000,all_noncommunicative,0.0,0.0,1.0,0.0
204800,all_noncommunicative,0.0,0.0,1.0,0.0
205600,all_noncommunicative,0.0,0.0,1.0,0.0
206400,all_noncommunicative,0.0,0.0,1.0,0.0
207200,all_noncommunicative,0.0,0.0,1.0,0.0
208000,all_noncommunicative,0.0,0.0,1.0,0.0
208800,all_noncommunicative,0.0,0.0,1.0,0.0
209600,all_noncommunicative,0.0,0.0,1.0,0.0
210400,all_noncommunicative,0.0,0.0,1.0,0.0
211200,all_noncommunicative,0.0,0.0,1.0,0.0
212000,all_noncommunicative,0.0,0.0,1.0,0.0
212800,all_noncommunicative,0.0,0.0,1.0,0.0
213600,all_noncommunicative,0.0,0.0,1.0,0.0
214400,all_noncommunicative,0.0,0.0,1.0,0.0
215200,all_noncommunicative,0.0,0.0,1.0,0.0
216000,all_noncommunicative,0.0,0.0,1.0,0.0
216800,all_noncommunicative,0.0,0.0,1.0,0.0
217600,all_noncommunicative,0.0,0.0,1.0,0.0
218400,all_noncommunicative,0.0,0.0,1.0,0.0
219200,all_noncommunicative,0.0,0.0,1.0,0.0
220000,all_noncommunicative,0.0,0.0,1.0,0.0
220800,all_noncommunicative,0.0,0.0,1.0,0.0
221600,all_noncommunicative,0.0,0.0,1.0,0.0
222400,all_noncommunicative,0.0,0.0,1.0,0.0
223200,all_noncommunicative,0.0,0.0,1.0,0.0
224000,all_noncommunicative,0.0,0.0,1.0,0.0
224800,all_noncommunicative,0.0,0.0,1.0,0.0
225600,all_noncommunicative,0.0,0.0,1.0,0.0
226400,all_noncommunicative,0.0,0.0,1.0,0.0
227200,all_noncommunicative,0.0,0.0,0.9935758187532645,0.020315044841424445
228000,all_noncommunicative,0.0,0.0,1.0,0.0
228800,all_noncommunicative,0.0,0.0,1.0,0.0
229600,all_noncommunicative,0.0,0.0,1.0,0.0
230400,all_noncommunicative,0.0,0.0,1.0,0.0
231200,all_noncommunicative,0.0,0.0,1.0,0.0
232000,all_noncommunicative,0.0,0.0,1.0,0.0
232800,all_noncommunicative,0.0,0.0,1.0,0.0
233600,all_noncommunicative,0.0,0.0,1.0,0.0
234400,all_noncommunicative,0.0,0.0,1.0,0.0
235200,all_noncommunicative,0.0,0.0,1.0,0.0
236000,all_noncommunicative,0.0,0.0,1.0,0.0
236800,all_noncommunicative,0.0,0.0,1.0,0.0
237600,all_noncommunicative,0.0,0.0,1.0,0.0
238400,all_noncommunicative,0.0,0.0,1.0,0.0
239200,all_noncommunicative,0.0,0.0,1.0,0.0
240000,all_noncommunicative,0.0,0.0,1.0,0.0
240800,all_noncommunicative,0.0,0.0,1.0,0.0
241600,all_noncommunicative,0.0,0.0,1.0,0.0
242400,all_noncommunicative,0.0,0.0,1.0,0.0
243200,all_noncommunicative,0.0,0.0,1.0,0.0
244000,all_noncommunicative,0.0,0.0,1.0,0.0
244800,all_noncommunicative,0.0,0.0,1.0,0.0
245600,all_noncommunicative,0.0,0.0,1.0,0.0
246400,all_noncommunicative,0.0,0.0,1.0,0.0
247200,all_noncommunicative,0.0,0.0,1.0,0.0
248000,all_noncommunicative,0.0,0.0,1.0,0.0
248800,all_noncommunicative,0.0,0.0,1.0,0.0
249600,all_noncommunicative,0.0,0.0,1.0,0.0
250400,all_noncommunicative,0.0,0.0,1.0,0.0
251200,all_noncommunicative,0.01,0.03162277660168379,0.9821204567091847,0.05654008032255828
252000,all_noncommunicative,0.0,0.0,1.0,0.0
252800,all_noncommunicative,0.0,0.0,1.0,0.0
253600,all_noncommunicative,0.0,0.0,1.0,0.0
254400,all_noncommunicative,0.0,0.0,1.0,0.0
255200,all_noncommunicative,0.0,0.0,1.0,0.0
256000,all_noncommunicative,0.0,0.0,1.0,0.0
256800,all_noncommunicative,0.0,0.0,1.0,0.0
257600,all_noncommunicative,0.0,0.0,1.0,0.0
258400,all_noncommunicative,0.0,0.0,1.0,0.0
259200,all_noncommunicative,0.0,0.0,1.0,0.0
260000,all_noncommunicative,0.0,0.0,1.0,0.0
260800,all_noncommunicative,0.0,0.0,1.0,0.0
261600,all_noncommunicative,0.0,0.0,1.0,0.0
262400,all_noncommunicative,0.0,0.0,1.0,0.0
263200,all_noncommunicative,0.0,0.0,1.0,0.0
264000,all_noncommunicative,0.0,0.0,1.0,0.0
264800,all_noncommunicative,0.0,0.0,1.0,0.0
265600,all_noncommunicative,0.0,0.0,1.0,0.0
266400,all_noncommunicative,0.005,0.015811388300841892,0.9990886781860379,0.0028818526135161787
267200,all_noncommunicative,0.0,0.0,1.0,0.0
268000,all_noncommunicative,0.0,0.0,1.0,0.0
268800,all_noncommunicative,0.0,0.0,1.0,0.0
269600,all_noncommunicative,0.0,0.0,1.0,0.0
270400,all_noncommunicative,0.0,0.0,1.0,0.0
271200,all_noncommunicative,0.0,0.0,1.0,0.0
272000,all_noncommunicative,0.0,0.0,1.0,0.0
272800,all_noncommunicative,0.0,0.0,1.0,0.0
273600,all_noncommunicative,0.0,0.0,1.0,0.0
274400,all_noncommunicative,0.0,0.0,1.0,0.0
275200,all_noncommunicative,0.0,0.0,1.0,0.0
276000,all_noncommunicative,0.0,0.0,1.0,0.0
276800,all_noncommunicative,0.0,0.0,1.0,0.0
277600,all_noncommunicative,0.0,0.0,1.0,0.0
278400,all_noncommunicative,0.0,0.0,1.0,0.0
279200,all_noncommunicative,0.0,0.0,1.0,0.0
280000,all_noncommunicative,0.0,0.0,1.0,0.0
280800,all_noncommunicative,0.0,0.0,1.0,0.0
281600,all_noncommunicative,0.0,0.0,1.0,0.0
282400,all_noncommunicative,0.0,0.0,1.0,0.0
283200,all_noncommunicative,0.0,0.0,1.0,0.0
284000,all_noncommunicative,0.0,0.0,1.0,0.0
284800,all_noncommunicative,0.0,0.0,1.0,0.0
285600,all_noncommunicative,0.0,0.0,1.0,0.0
286400,all_noncommunicative,0.0,0.0,1.0,0.0
287200,all_noncommunicative,0.0,0.0,1.0,0.0
288000,all_noncommunicative,0.0,0.0,1.0,0.0
288800,all_noncommunicative,0.0,0.0,1.0,0.0
289600,all_noncommunicative,0.0,0.0,1.0,0.0
290400,all_noncommunicative,0.0,0.0,1.0,0.0
291200,all_noncommunicative,0.0,0.0,1.0,0.0
292000,all_noncommunicative,0.0,0.0,1.0,0.0
292800,all_noncommunicative,0.0,0.0,1.0,0.0
293600,all_noncommunicative,0.0,0.0,1.0,0.0
294400,all_noncommunicative,0.0,0.0,0.9761577310586391,0.07539587444099201
295200,all_noncommunicative,0.0,0.0,1.0,0.0
296000,all_noncommunicative,0.0,0.0,1.0,0.0
296800,all_noncommunicative,0.0,0.0,1.0,0.0
297600,all_noncommunicative,0.0,0.0,1.0,0.0
298400,all_noncommunicative,0.0,0.0,1.0,0.0
299200,all_noncommunicative,0.0,0.0,1.0,0.0
300000,all_noncommunicative,0.0,0.0,1.0,0.0
300800,all_noncommunicative,0.0,0.0,1.0,0.0
301600,all_noncommunicative,0.0,0.0,1.0,0.0
302400,all_noncommunicative,0.0,0.0,1.0,0.0
303200,all_noncommunicative,0.0,0.0,1.0,0.0
304000,all_noncommunicative,0.0,0.0,1.0,0.0
304800,all_noncommunicative,0.0,0.0,1.0,0.0
305600,all_noncommunicative,0.0,0.0,1.0,0.0
306400,all_noncommunicative,0.0,0.0,1.0,0.0
307200,all_noncommunicative,0.0,0.0,1.0,0.0
308000,all_noncommunicative,0.0,0.0,1.0,0.0
308800,all_noncommunicative,0.0,0.0,1.0,0.0
309600,all_noncommunicative,0.0,0.0,1.0,0.0
310400,all_noncommunicative,0.0,0.0,1.0,0.0
311200,all_noncommunicative,0.0,0.0,1.0,0.0
312000,all_noncommunicative,0.0,0.0,1.0,0.0
312800,all_noncommunicative,0.0,0.0,0.991002383789348,0.028452960737713417
313600,all_noncommunicative,0.0,0.0,1.0,0.0
314400,all_noncommunicative,0.0,0.0,1.0,0.0
315200,all_noncommunicative,0.0,0.0,1.0,0.0
316000,all_noncommunicative,0.0,0.0,1.0,0.0
316800,all_noncommunicative,0.0,0.0,1.0,0.0
317600,all_noncommunicative,0.0,0.0,1.0,0.0
318400,all_noncommunicative,0.0,0.0,1.0,0.0
319200,all_noncommunicative,0.0,0.0,1.0,0.0
320000,all_noncommunicative,0.0,0.0,1.0,0.0
320800,all_noncommunicative,0.0,0.0,1.0,0.0
321600,all_noncommunicative,0.0,0.0,1.0,0.0
322400,all_noncommunicative,0.0,0.0,0.9982661212721602,0.005483005966488792
323200,all_noncommunicative,0.0,0.0,1.0,0.0
324000,all_noncommunicative,0.0,0.0,1.0,0.0
324800,all_noncommunicative,0.0,0.0,1.0,0.0
325600,all_noncommunicative,0.0,0.0,1.0,0.0
326400,all_noncommunicative,0.0,0.0,1.0,0.0
327200,all_noncommunicative,0.0,0.0,1.0,0.0
328000,all_noncommunicative,0.0,0.0,1.0,0.0
328800,all_noncommunicative,0.0,0.0,1.0,0.0
329600,all_noncommunicative,0.0,0.0,1.0,0.0
330400,all_noncommunicative,0.0,0.0,1.0,0.0
331200,all_noncommunicative,0.0,0.0,1.0,0.0
332000,all_noncommunicative,0.0,0.0,1.0,0.0
332800,all_noncommunicative,0.0,0.0,1.0,0.0
333600,all_noncommunicative,0.0,0.0,1.0,0.0
334400,all_noncommunicative,0.0,0.0,1.0,0.0
335200,all_noncommunicative,0.0,0.0,1.0,0.0
336000,all_noncommunicative,0.0,0.0,1.0,0.0
336800,all_noncommunicative,0.0,0.0,1.0,0.0
337600,all_noncommunicative,0.0,0.0,1.0,0.0
338400,all_noncommunicative,0.0,0.0,1.0,0.0
339200,all_noncommunicative,0.0,0.0,1.0,0.0
340000,all_noncommunicative,0.0,0.0,1.0,0.0
340800,all_noncommunicative,0.0,0.0,1.0,0.0
341600,all_noncommunicative,0.0,0.0,1.0,0.0
342400,all_noncommunicative,0.0,0.0,0.9987688340595138,0.0038932885495598112
343200,all_noncommunicative,0.0,0.0,1.0,0.0
