time,communicative_fraction,order_parameter,game_type
148801,1.0,1.0,all_communicative
149601,1.0,1.0,all_communicative
150401,1.0,1.0,all_communicative
151201,1.0,1.0,all_communicative
152001,1.0,1.0,all_communicative
152801,1.0,1.0,all_communicative
153601,1.0,1.0,all_communicative
154401,1.0,1.0,all_communicative
155201,1.0,1.0,all_communicative
156001,1.0,1.0,all_communicative
156801,1.0,1.0,all_communicative
157601,1.0,1.0,all_communicative
158401,1.0,1.0,all_communicative
159201,1.0,1.0,all_communicative
160001,1.0,1.0,all_communicative
160801,1.0,1.0,all_communicative
161601,1.0,1.0,all_communicative
162401,1.0,1.0,all_communicative
163201,1.0,1.0,all_communicative
164001,1.0,1.0,all_communicative
164801,1.0,1.0,all_communicative
165601,1.0,1.0,all_communicative
166401,1.0,1.0,all_communicative
167201,1.0,1.0,all_communicative
168001,1.0,1.0,all_communicative
168801,1.0,1.0,all_communicative
169601,1.0,1.0,all_communicative
170401,1.0,1.0,all_communicative
171201,1.0,1.0,all_communicative
172001,1.0,1.0,all_communicative
172801,1.0,1.0,all_communicative
173601,1.0,1.0,all_communicative
174401,1.0,1.0,all_communicative
175201,1.0,1.0,all_communicative
176001,1.0,1.0,all_communicative
176801,1.0,1.0,all_communicative
177601,1.0,1.0,all_communicative
178401,1.0,1.0,all_communicative
179201,1.0,1.0,all_communicative
180001,1.0,1.0,all_communicative
180801,1.0,1.0,all_communicative
181601,1.0,1.0,all_communicative
182401,1.0,1.0,all_communicative
183201,1.0,1.0,all_communicative
184001,1.0,1.0,all_communicative
184801,1.0,1.0,all_communicative
185601,1.0,1.0,all_communicative
186401,1.0,1.0,all_communicative
187201,1.0,1.0,all_communicative
188001,1.0,1.0,all_communicative
188801,1.0,1.0,all_communicative
189601,1.0,1.0,all_communicative
190401,1.0,1.0,all_communicative
191201,1.0,1.0,all_communicative
192001,1.0,1.0,all_communicative
192801,1.0,1.0,all_communicative
193601,1.0,1.0,all_communicative
194401,1.0,1.0,all_communicative
195201,1.0,1.0,all_communicative
196001,1.0,1.0,all_communicative
196801,1.0,1.0,all_communicative
197601,1.0,1.0,all_communicative
198401,1.0,1.0,all_communicative
199201,1.0,1.0,all_communicative
200001,1.0,1.0,all_communicative
200801,1.0,1.0,all_communicative
201601,1.0,1.0,all_communicative
202401,1.0,1.0,all_communicative
203201,0.55,0.8048943483704847,staghunt
204001,1.0,1.0,all_communicative
204801,1.0,1.0,all_communicative
205601,1.0,1.0,all_communicative
206401,1.0,1.0,all_communicative
207201,1.0,1.0,all_communicative
208001,1.0,1.0,all_communicative
208801,1.0,1.0,all_communicative
209601,1.0,1.0,all_communicative
210401,1.0,1.0,all_communicative
211201,1.0,1.0,all_communicative
212001,1.0,1.0,all_communicative
212801,1.0,1.0,all_communicative
213601,1.0,1.0,all_communicative
214401,1.0,1.0,all_communicative
215201,1.0,1.0,all_communicative
216001,1.0,1.0,all_communicative
216801,1.0,1.0,all_communicative
217601,1.0,1.0,all_communicative
