time,communicative_fraction,order_parameter,game_type
1,0.5,0.4358028845298806,hero
801,0.4066666666666667,0.5315931197720166,hero
1601,0.4,0.5534329192481066,hero
2401,0.39666666666666667,0.5232346186984942,hero
3201,0.3933333333333333,0.4654247530742804,hero
4001,0.39,0.47329453464342736,hero
4801,0.39,0.4747491474742499,hero
5601,0.38333333333333336,0.506121904949785,hero
6401,0.38333333333333336,0.4752062891020787,hero
7201,0.38333333333333336,0.4752062891020787,hero
8001,0.38333333333333336,0.4752062891020787,hero
8801,0.38,0.4932100568710293,hero
9601,0.38,0.4932100568710293,hero
10401,0.37666666666666665,0.4908258379146861,hero
11201,0.37666666666666665,0.4908258379146861,hero
12001,0.37666666666666665,0.5186592662614514,hero
12801,0.37666666666666665,0.5459986219085836,hero
13601,0.37666666666666665,0.5459986219085836,hero
14401,0.37333333333333335,0.5694455909777131,hero
15201,0.37,0.5466312122638022,hero
16001,0.37333333333333335,0.5036895535501862,hero
16801,0.37333333333333335,0.4761631659673026,hero
17601,0.37333333333333335,0.5133383084118227,hero
18401,0.36333333333333334,0.5289040781949612,hero
19201,0.36,0.5035967559658707,hero
20001,0.36,0.5035967559658707,hero
20801,0.36,0.5035967559658707,hero
21601,0.36,0.5035967559658707,hero
22401,0.36,0.5029459868337304,hero
23201,0.36,0.5029459868337304,hero
24001,0.36,0.5029459868337304,hero
24801,0.36,0.5029459868337304,hero
25601,0.36,0.49807726496043286,hero
26401,0.36,0.49807726496043286,hero
27201,0.36,0.49807726496043286,hero
28001,0.36,0.47464578077179714,hero
28801,0.36,0.45141735630915175,hero
29601,0.36333333333333334,0.45050292442274753,hero
30401,0.36,0.45050292442274753,hero
31201,0.36,0.45050292442274753,hero
32001,0.3566666666666667,0.39887887087706314,hero
32801,0.3566666666666667,0.4034178157794833,hero
33601,0.3566666666666667,0.4034178157794833,hero
34401,0.3566666666666667,0.41136540930163096,hero
35201,0.3566666666666667,0.41136540930163096,hero
36001,0.3566666666666667,0.41136540930163096,hero
36801,0.35333333333333333,0.42513836605957056,hero
37601,0.3566666666666667,0.4250253607444166,hero
38401,0.35333333333333333,0.44032711806333025,hero
39201,0.35333333333333333,0.44032711806333025,hero
40001,0.35333333333333333,0.44032711806333025,hero
40801,0.35333333333333333,0.44032711806333025,hero
41601,0.35333333333333333,0.4181275886955165,hero
42401,0.3566666666666667,0.4181275886955165,hero
43201,0.36,0.42616954703348536,hero
44001,0.36,0.42616954703348536,hero
44801,0.36333333333333334,0.433428749787533,hero
45601,0.36333333333333334,0.433428749787533,hero
46401,0.36333333333333334,0.45181223397128123,hero
47201,0.36333333333333334,0.45181223397128123,hero
48001,0.36333333333333334,0.45181223397128123,hero
48801,0.36,0.5269162748734628,hero
49601,0.3566666666666667,0.5386210173686825,hero
50401,0.3566666666666667,0.5386210173686825,hero
51201,0.3566666666666667,0.5386210173686825,hero
52001,0.36,0.5085962435726492,hero
52801,0.36,0.5085962435726492,hero
53601,0.36,0.5085962435726492,hero
54401,0.3566666666666667,0.5257570839461512,hero
55201,0.3566666666666667,0.5257570839461512,hero
56001,0.3566666666666667,0.5257570839461512,hero
56801,0.36,0.4946929623758708,hero
57601,0.36,0.4946929623758708,hero
58401,0.36,0.4946929623758708,hero
59201,0.3566666666666667,0.5257570839461512,hero
60001,0.3566666666666667,0.5488662686004698,hero
