time,communicative_fraction,order_parameter,game_type
127201,0.0,1.0,all_noncommunicative
128001,0.0,1.0,all_noncommunicative
128801,0.0,1.0,all_noncommunicative
129601,0.0,1.0,all_noncommunicative
130401,0.0,1.0,all_noncommunicative
131201,0.0,1.0,all_noncommunicative
132001,0.0,1.0,all_noncommunicative
132801,0.0,1.0,all_noncommunicative
133601,0.0,1.0,all_noncommunicative
134401,0.0,1.0,all_noncommunicative
135201,0.0,1.0,all_noncommunicative
136001,0.0,1.0,all_noncommunicative
136801,0.0,1.0,all_noncommunicative
137601,0.0,1.0,all_noncommunicative
138401,0.0,1.0,all_noncommunicative
139201,0.0,1.0,all_noncommunicative
140001,0.0,1.0,all_noncommunicative
140801,0.0,1.0,all_noncommunicative
141601,0.0,1.0,all_noncommunicative
142401,0.0,1.0,all_noncommunicative
143201,0.0,1.0,all_noncommunicative
144001,0.0,1.0,all_noncommunicative
144801,0.0,1.0,all_noncommunicative
145601,0.0,1.0,all_noncommunicative
146401,0.0,1.0,all_noncommunicative
147201,0.0,1.0,all_noncommunicative
148001,0.0,1.0,all_noncommunicative
148801,0.0,1.0,all_noncommunicative
149601,0.0,1.0,all_noncommunicative
150401,0.0,1.0,all_noncommunicative
151201,0.0,1.0,all_noncommunicative
152001,0.0,1.0,all_noncommunicative
152801,0.0,1.0,all_noncommunicative
153601,0.0,1.0,all_noncommunicative
154401,0.0,1.0,all_noncommunicative
155201,0.0,1.0,all_noncommunicative
156001,0.0,1.0,all_noncommunicative
156801,0.0,1.0,all_noncommunicative
157601,0.0,1.0,all_noncommunicative
158401,0.0,1.0,all_noncommunicative
159201,0.0,1.0,all_noncommunicative
160001,0.0,1.0,all_noncommunicative
160801,0.0,1.0,all_noncommunicative
161601,0.0,1.0,all_noncommunicative
162401,0.0,1.0,all_noncommunicative
163201,0.0,1.0,all_noncommunicative
164001,0.0,1.0,all_noncommunicative
164801,0.0,1.0,all_noncommunicative
165601,0.0,1.0,all_noncommunicative
166401,0.0,1.0,all_noncommunicative
167201,0.0,1.0,all_noncommunicative
168001,0.0,1.0,all_noncommunicative
168801,0.0,1.0,all_noncommunicative
169601,0.0,1.0,all_noncommunicative
170401,0.0,1.0,all_noncommunicative
171201,0.0,1.0,all_noncommunicative
172001,0.0,1.0,all_noncommunicative
172801,0.0,1.0,all_noncommunicative
173601,0.0,1.0,all_noncommunicative
174401,0.0,1.0,all_noncommunicative
175201,0.0,1.0,all_noncommunicative
176001,0.0,1.0,all_noncommunicative
176801,0.0,1.0,all_noncommunicative
177601,0.0,1.0,all_noncommunicative
178401,0.0,1.0,all_noncommunicative
179201,0.0,1.0,all_noncommunicative
180001,0.0,1.0,all_noncommunicative
180801,0.0,1.0,all_noncommunicative
181601,0.0,1.0,all_noncommunicative
182401,0.0,1.0,all_noncommunicative
183201,0.0,1.0,all_noncommunicative
184001,0.0,1.0,all_noncommunicative
184801,0.0,1.0,all_noncommunicative
185601,0.0,1.0,all_noncommunicative
186401,0.0,1.0,all_noncommunicative
187201,0.0,1.0,all_noncommunicative
188001,0.0,1.0,all_noncommunicative
188801,0.0,1.0,all_noncommunicative
189601,0.0,1.0,all_noncommunicative
190401,0.0,1.0,all_noncommunicative
191201,0.0,1.0,all_noncommunicative
192001,0.0,1.0,all_noncommunicative
192801,0.0,1.0,all_noncommunicative
193601,0.0,1.0,all_noncommunicative
194401,0.0,1.0,all_noncommunicative
195201,0.0,1.0,all_noncommunicative
196001,0.0,1.0,all_noncommunicative
196801,0.0,1.0,all_noncommunicative
197601,0.0,1.0,all_noncommunicative
198401,0.0,1.0,all_noncommunicative
199201,0.0,1.0,all_noncommunicative
200001,0.0,1.0,all_noncommunicative
200801,0.0,1.0,all_noncommunicative
201601,0.0,1.0,all_noncommunicative
202401,0.0,1.0,all_noncommunicative
203201,0.0,0.8048943483704847,all_noncommunicative
204001,0.0,1.0,all_noncommunicative
204801,0.0,1.0,all_noncommunicative
205601,0.0,1.0,all_noncommunicative
206401,0.0,1.0,all_noncommunicative
207201,0.0,1.0,all_noncommunicative
208001,0.0,1.0,all_noncommunicative
208801,0.0,1.0,all_noncommunicative
209601,0.0,1.0,all_noncommunicative
210401,0.0,1.0,all_noncommunicative
211201,0.0,1.0,all_noncommunicative
212001,0.0,1.0,all_noncommunicative
212801,0.0,1.0,all_noncommunicative
213601,0.0,1.0,all_noncommunicative
214401,0.0,1.0,all_noncommunicative
215201,0.0,1.0,all_noncommunicative
216001,0.0,1.0,all_noncommunicative
216801,0.0,1.0,all_noncommunicative
217601,0.0,1.0,all_noncommunicative
218401,0.0,1.0,all_noncommunicative
219201,0.0,1.0,all_noncommunicative
220001,0.0,1.0,all_noncommunicative
220801,0.0,1.0,all_noncommunicative
221601,0.0,1.0,all_noncommunicative
222401,0.0,1.0,all_noncommunicative
223201,0.0,1.0,all_noncommunicative
224001,0.0,1.0,all_noncommunicative
224801,0.0,1.0,all_noncommunicative
225601,0.0,1.0,all_noncommunicative
226401,0.0,1.0,all_noncommunicative
227201,0.0,1.0,all_noncommunicative
228001,0.0,1.0,all_noncommunicative
228801,0.0,1.0,all_noncommunicative
229601,0.0,1.0,all_noncommunicative
230401,0.0,1.0,all_noncommunicative
231201,0.0,1.0,all_noncommunicative
232001,0.0,1.0,all_noncommunicative
232801,0.0,1.0,all_noncommunicative
233601,0.0,1.0,all_noncommunicative
234401,0.0,1.0,all_noncommunicative
235201,0.0,1.0,all_noncommunicative
236001,0.0,1.0,all_noncommunicative
236801,0.0,1.0,all_noncommunicative
237601,0.0,1.0,all_noncommunicative
238401,0.0,1.0,all_noncommunicative
239201,0.0,1.0,all_noncommunicative
240001,0.0,1.0,all_noncommunicative
240801,0.0,1.0,all_noncommunicative
241601,0.0,1.0,all_noncommunicative
242401,0.0,1.0,all_noncommunicative
243201,0.0,1.0,all_noncommunicative
244001,0.0,1.0,all_noncommunicative
244801,0.0,1.0,all_noncommunicative
245601,0.0,1.0,all_noncommunicative
246401,0.0,1.0,all_noncommunicative
247201,0.0,1.0,all_noncommunicative
248001,0.0,1.0,all_noncommunicative
248801,0.0,1.0,all_noncommunicative
249601,0.0,1.0,all_noncommunicative
250401,0.0,1.0,all_noncommunicative
251201,0.0,1.0,all_noncommunicative
252001,0.0,1.0,all_noncommunicative
252801,0.0,1.0,all_noncommunicative
253601,0.0,1.0,all_noncommunicative
254401,0.0,1.0,all_noncommunicative
255201,0.0,1.0,all_noncommunicative
256001,0.0,1.0,all_noncommunicative
256801,0.0,1.0,all_noncommunicative
257601,0.0,1.0,all_noncommunicative
258401,0.0,1.0,all_noncommunicative
259201,0.0,1.0,all_noncommunicative
260001,0.0,1.0,all_noncommunicative
260801,0.0,1.0,all_noncommunicative
261601,0.0,1.0,all_noncommunicative
262401,0.0,1.0,all_noncommunicative
263201,0.0,1.0,all_noncommunicative
264001,0.0,1.0,all_noncommunicative
264801,0.0,1.0,all_noncommunicative
265601,0.0,1.0,all_noncommunicative
266401,0.0,1.0,all_noncommunicative
267201,0.0,1.0,all_noncommunicative
268001,0.0,1.0,all_noncommunicative
268801,0.0,1.0,all_noncommunicative
269601,0.0,1.0,all_noncommunicative
270401,0.0,1.0,all_noncommunicative
271201,0.0,1.0,all_noncommunicative
272001,0.0,1.0,all_noncommunicative
272801,0.0,1.0,all_noncommunicative
273601,0.0,1.0,all_noncommunicative
274401,0.0,1.0,all_noncommunicative
275201,0.0,1.0,all_noncommunicative
276001,0.0,1.0,all_noncommunicative
276801,0.0,1.0,all_noncommunicative
277601,0.0,1.0,all_noncommunicative
278401,0.0,1.0,all_noncommunicative
279201,0.0,1.0,all_noncommunicative
280001,0.0,1.0,all_noncommunicative
280801,0.0,1.0,all_noncommunicative
281601,0.0,1.0,all_noncommunicative
282401,0.0,1.0,all_noncommunicative
283201,0.0,1.0,all_noncommunicative
284001,0.0,1.0,all_noncommunicative
284801,0.0,1.0,all_noncommunicative
285601,0.0,1.0,all_noncommunicative
286401,0.0,1.0,all_noncommunicative
287201,0.0,1.0,all_noncommunicative
288001,0.0,1.0,all_noncommunicative
288801,0.0,1.0,all_noncommunicative
289601,0.0,1.0,all_noncommunicative
290401,0.0,1.0,all_noncommunicative
291201,0.0,1.0,all_noncommunicative
292001,0.0,1.0,all_noncommunicative
292801,0.0,1.0,all_noncommunicative
293601,0.0,1.0,all_noncommunicative
294401,0.0,1.0,all_noncommunicative
295201,0.0,1.0,all_noncommunicative
296001,0.0,1.0,all_noncommunicative
