time,game_type,communicative_fraction_mean,order_parameter_mean,communicative_fraction_std,order_parameter_std
0,staghunt,0.5126666666666667,0.05634379970461454,0.026237283810036347,0.01653043798385966
800,staghunt,0.5036666666666668,0.20098833729841803,0.0979474537887724,0.03835685554657758
1600,staghunt,0.5006666666666666,0.20979076305567088,0.10277387379972824,0.040191660321180746
2400,staghunt,0.4993333333333333,0.21317561759050455,0.10427646065586221,0.03951608514177526
3200,staghunt,0.49766666666666665,0.2149578501090415,0.10660935960578487,0.039013477586870224
4000,staghunt,0.496,0.2147547035352782,0.1070456231337777,0.03907132805907581
4800,staghunt,0.4966666666666667,0.2158435435614899,0.10834330438443471,0.04093869804111651
5600,staghunt,0.4956666666666667,0.22169901561624822,0.10929685479983312,0.04449174167145992
6400,staghunt,0.49433333333333335,0.22405014710118815,0.11068864128103648,0.045816871774158996
7200,staghunt,0.49433333333333335,0.22552926903052278,0.11137801276910564,0.04465939695351482
8000,staghunt,0.49366666666666675,0.22641405899695521,0.11212261806380316,0.04525678291352419
8800,staghunt,0.4926666666666667,0.22837571541806923,0.11243434298061017,0.0453512959549031
9600,staghunt,0.4916666666666667,0.23107659035937161,0.1135863189466577,0.048286455634599997
10400,staghunt,0.491,0.2331196465992081,0.11428845896175105,0.049476311264488905
11200,staghunt,0.491,0.23409778758662325,0.11428845896175105,0.049698576948533926
12000,staghunt,0.49066666666666664,0.2354049524606479,0.11478159615031854,0.04897326883747803
12800,staghunt,0.4893333333333333,0.23701256720773478,0.11612891942115851,0.05158676714590249
13600,staghunt,0.4893333333333333,0.2175700688915006,0.11612891942115851,0.06732228405622741
14400,staghunt,0.48966666666666664,0.21870531608070437,0.11651789456167846,0.06746752035493997
15200,staghunt,0.48999999999999994,0.2207716609383148,0.11691507944858584,0.06464705944499215
16000,staghunt,0.48999999999999994,0.22216728208929423,0.11691507944858584,0.062110100665484606
16800,staghunt,0.48933333333333334,0.22337975339576915,0.11755534551546035,0.059715256365815726
17600,staghunt,0.4886666666666667,0.2244179941136842,0.11842797467315391,0.061210287329357085
18400,staghunt,0.48999999999999994,0.2240609045539134,0.118363324316318,0.06353278757411328
19200,staghunt,0.49033333333333334,0.22530504364998327,0.11797101548188504,0.06321494209911949
20000,staghunt,0.4893333333333333,0.22685022255847379,0.11975076999159648,0.06556920202249397
20800,staghunt,0.48966666666666664,0.22802484549623125,0.11937543225957546,0.06473453333974227
21600,staghunt,0.489,0.22901455954986544,0.1201239072225831,0.06440028146312694
22400,staghunt,0.4886666666666666,0.2291928320907925,0.1206279864339578,0.06468185272575667
23200,staghunt,0.4893333333333333,0.23152710122045397,0.12147041503343545,0.06349437751780726
24000,staghunt,0.489,0.23264052233754073,0.12184841827876568,0.06310581175023276
24800,staghunt,0.4893333333333333,0.2330013087512583,0.12217979061435612,0.06293746334483238
25600,staghunt,0.4886666666666666,0.23438035128677667,0.12287904320615153,0.06543799879700543
26400,staghunt,0.4886666666666666,0.23481420222342592,0.12285894752786353,0.06434551094135206
27200,staghunt,0.4879999999999999,0.23687142684478632,0.12362028680051661,0.06241786233130215
28000,staghunt,0.4873333333333333,0.22702233820131953,0.12298549548123727,0.04366913850637612
28800,staghunt,0.4873333333333333,0.22530837039394086,0.1236861819482608,0.042383641611812344
29600,staghunt,0.4873333333333333,0.22564357856429113,0.1236861819482608,0.0425722274876252
30400,staghunt,0.487,0.22734005591506098,0.1239718207726216,0.043411853262809406
31200,staghunt,0.46799999999999997,0.2300149455135469,0.12446626792770744,0.044018036117920455
32000,staghunt,0.46699999999999997,0.23025690104446267,0.1253188525913592,0.04405452320192694
32800,staghunt,0.46699999999999997,0.23121346625401204,0.12524001648193386,0.04408453224585109
33600,staghunt,0.4666666666666667,0.2332470344995275,0.1255506390384492,0.04452846673252134
34400,staghunt,0.4663333333333333,0.23517850146503458,0.1259183548922294,0.04447476939066531
35200,staghunt,0.46566666666666673,0.23619794772720856,0.12648183395645266,0.04490842375449253
36000,staghunt,0.4646666666666667,0.23917592038304192,0.12809333017205815,0.04223675305446161
36800,staghunt,0.46333333333333326,0.2401081525612876,0.12940509654702817,0.04238804504811651
37600,staghunt,0.46333333333333326,0.2412652125512195,0.12944325225965067,0.041072452121046966
38400,staghunt,0.4626666666666666,0.24345197745813607,0.13015470377047558,0.04203479067886022
39200,staghunt,0.4623333333333333,0.24409982037313244,0.13046971173039493,0.04218534041398873
40000,staghunt,0.4613333333333333,0.2449444095493803,0.1313293851634409,0.04264889910139698
40800,staghunt,0.46033333333333326,0.24581811339248794,0.13217506161746342,0.04478551204921989
41600,staghunt,0.45899999999999996,0.24599247266392443,0.1327212804022209,0.044738344180121285
42400,staghunt,0.45866666666666667,0.24583352600132394,0.13235007823902692,0.045080271933217356
43200,staghunt,0.458,0.24568107095499186,0.13293644633971566,0.04600975150928639
44000,staghunt,0.45666666666666667,0.24601805000738292,0.13424687043734845,0.046529839571741345
44800,staghunt,0.45633333333333337,0.2467731192089444,0.13463668533143944,0.04714995109300384
45600,staghunt,0.45633333333333337,0.24741893782086635,0.13463668533143944,0.048045253160959776
46400,staghunt,0.4576666666666667,0.24837401570957685,0.13479797412112876,0.046747916843485664
47200,staghunt,0.4576666666666667,0.24807455577033735,0.1349535814115449,0.04640437396096896
48000,staghunt,0.4573333333333333,0.24874022534335963,0.1351249992862119,0.046842731072088355
48800,staghunt,0.4566666666666667,0.2506722237005374,0.13646326326972483,0.04554940376941406
49600,staghunt,0.4566666666666667,0.2511356465708334,0.13724808573177638,0.045708675411502454
50400,staghunt,0.45533333333333337,0.2521815810787936,0.13818220213780907,0.046335497941674776
51200,staghunt,0.45500000000000007,0.25306807376955254,0.1378248127600603,0.047296978151428734
52000,staghunt,0.4716666666666667,0.25012178811695607,0.13054728106166208,0.046013922491230715
52800,staghunt,0.47300000000000003,0.2515658665686728,0.1308608723080913,0.04567688692738815
53600,staghunt,0.4733333333333333,0.25134645472397416,0.13152477117295727,0.04706645925045102
54400,staghunt,0.47300000000000003,0.25189328516395626,0.13226843263456683,0.04691836368104833
