src,dst
67,130
67,163
67,179
67,180
67,181
67,182
67,265
67,268
67,273
67,274
68,57
68,63
68,68
68,69
68,80
68,84
68,86
68,92
68,100
68,108
68,109
68,124
68,126
68,128
68,133
68,145
68,146
68,147
68,154
68,163
68,165
68,168
68,172
68,179
68,180
68,190
68,195
68,199
68,200
68,201
68,202
68,211
68,212
68,215
68,219
68,269
69,22
69,48
69,50
69,63
69,64
69,68
69,81
69,85
69,87
69,93
69,101
69,110
69,125
69,145
69,146
69,148
69,161
69,164
69,169
69,173
69,179
69,180
69,195
69,196
69,209
70,60
70,65
70,71
70,130
70,157
71,60
71,65
71,157
71,181
71,182
71,270
72,65
72,73
72,74
72,75
72,122
72,131
72,133
72,134
72,141
72,164
72,229
73,65
73,72
73,74
73,75
73,122
73,123
73,134
73,135
73,141
73,162
73,164
73,229
74,75
74,139
74,141
74,163
74,164
74,179
74,180
74,181
74,229
74,249
74,268
75,74
75,76
75,77
75,163
75,164
75,179
75,180
75,181
75,182
75,268
76,65
76,73
76,77
76,123
76,134
76,137
76,179
76,181
76,230
76,268
77,65
77,73
77,76
77,123
77,134
77,138
77,182
77,230
77,268
78,78
78,94
78,98
78,108
78,116
78,143
78,178
78,183
78,185
78,189
78,190
78,191
78,192
78,201
79,85
79,95
79,99
79,151
79,152
79,183
79,184
79,186
79,189
79,190
79,191
79,192
80,47
80,68
80,94
80,96
80,100
80,108
80,151
80,172
80,187
80,190
80,192
80,196
81,48
81,69
81,93
81,95
81,97
81,101
81,108
81,110
81,148
81,173
81,186
81,188
81,189
81,192
81,195
82,46
82,80
82,96
82,102
82,108
82,159
82,168
82,183
82,187
82,189
82,190
82,192
83,44
83,48
83,97
83,103
83,108
83,169
83,179
83,184
83,188
83,189
83,190
83,191
83,192
83,219
84,35
84,57
84,78
84,85
84,88
84,92
84,94
84,98
84,104
84,108
84,109
84,120
84,143
84,147
84,151
84,152
84,173
84,183
84,185
84,193
84,197
84,201
84,202
84,211
84,215
84,219
85,48
85,85
85,89
85,93
85,95
85,99
85,101
85,108
85,110
85,127
85,129
85,144
85,148
85,151
85,152
85,172
85,186
85,196
85,198
85,201
85,202
85,210
85,217
86,47
86,90
86,92
86,96
86,102
86,130
86,143
86,147
86,151
86,152
86,168
86,173
86,183
86,187
