time,orderParamGroup1,orderParamGroup2,orderParamGroup3,orderParamGroup4,orderParamGroup5,orderParamGroup6
0,0.2587899961148453,0.07079371466658474,0.11308603824651922,0.45399049973954686,1.0,0.9510565162951536
8000,0.2587899961148453,0.10921755655995803,0.5866330455185733,0.45399049973954686,1.0,0.9510565162951536
16000,0.2587899961148453,0.12786454377094927,0.5866330455185733,0.45399049973954686,1.0,0.9510565162951536
24000,0.2587899961148453,0.15106043841369943,0.6388648385282759,0.45399049973954686,1.0,0.9510565162951536
32000,0.2587899961148453,0.16602555972324018,0.6388648385282759,0.45399049973954686,1.0,0.9510565162951536
40000,0.2587899961148453,0.17077536854933228,0.7059234427296953,0.45399049973954686,1.0,0.9510565162951536
48000,0.2587899961148453,0.21815996606565585,0.6848241110955806,0.45399049973954686,1.0,0.9510565162951536
56000,0.2587899961148453,0.22778835023446056,0.6848241110955806,0.45399049973954686,1.0,0.9510565162951536
64000,0.2587899961148453,0.22123285834948056,0.6848241110955806,0.45399049973954686,1.0,0.9510565162951536
72000,0.2587899961148453,0.21964193697903184,0.6942197060509958,0.45399049973954686,1.0,0.9510565162951536
80000,0.2587899961148453,0.2267674708443312,0.6990442054407012,0.45399049973954686,1.0,0.9510565162951536
88000,0.2587899961148453,0.1954332683918075,0.6990442054407012,0.45399049973954686,1.0,0.9510565162951536
96000,0.2587899961148453,0.21829825484892454,0.6990442054407012,0.45399049973954686,1.0,0.9510565162951536
104000,0.2587899961148453,0.2302581134253953,0.6990442054407012,0.45399049973954686,1.0,0.9510565162951536
112000,0.2587899961148453,0.2688487517709298,0.6990442054407012,0.45399049973954686,1.0,0.9510565162951536
120000,0.2587899961148453,0.2796057951555175,0.6990442054407012,0.45399049973954686,1.0,0.9510565162951536
128000,0.2587899961148453,0.2796057951555175,0.6990442054407012,0.45399049973954686,1.0,0.9510565162951536
136000,0.2587899961148453,0.2866355452834491,0.6990442054407012,0.45399049973954686,1.0,0.9510565162951536
144000,0.2587899961148453,0.29035580478371137,0.6996014215973538,0.45399049973954686,1.0,0.9510565162951536
152000,0.2766809468364937,0.30193883396816573,0.6963822380248799,0.45399049973954686,1.0,0.9510565162951536
160000,0.2766809468364937,0.3229120583709185,0.6963822380248799,0.45399049973954686,1.0,0.9510565162951536
168000,0.2766809468364937,0.32362600723116697,0.6963822380248799,0.45399049973954686,1.0,0.9510565162951536
176000,0.2766809468364937,0.32511562132234867,0.6996014215973538,0.45399049973954686,1.0,0.9510565162951536
