index,x,y
1,-0.36737953814865787,0.6291113503153831
2,-0.511599922256759,-0.05256789274792192
3,-0.5932779142827441,0.3954518309633592
4,0.5747916059157225,0.45371938911775667
5,0.012818590630573749,0.0019593014949754323
6,-0.06214961948682367,0.7050243176225859
7,0.25660926127755496,0.6934955454495687
8,-0.42369823518747973,-0.6076114434919545
9,0.5347408514815554,-0.4777615857863795
10,-0.21919759158847027,0.3230806259524651
11,-0.7351663615782509,0.10406194945654945
12,-0.6638496442697148,-0.3267236982119667
13,0.7172448629668796,0.1501890955119145
14,0.17592696759316848,-0.4053427457867855
15,0.25985057212229445,0.40150136214400867
16,-0.08987693440849655,-0.7170628042114743
17,0.43683801935261873,-0.005134374535414113
18,-0.25632857552567717,-0.3595569462591536
19,0.6963503981431011,-0.21144573980097395
20,0.2573532072496046,-0.6943875371965437
